date,open,high,low,close,volume
2015-11-10,1.07508,1.0764,1.06742,1.07235,235920
2015-11-11,1.07235,1.07736,1.07055,1.07392,216065
2015-11-12,1.07392,1.08303,1.06909,1.08118,330401
2015-11-13,1.08118,1.08172,1.0714,1.0763,281510
2015-11-16,1.07401,1.07581,1.06744,1.06858,264578
2015-11-17,1.06858,1.06907,1.06306,1.06405,257970
2015-11-18,1.06405,1.06926,1.06166,1.06587,240771
2015-11-19,1.06587,1.0763,1.06549,1.07328,294264
2015-11-20,1.07328,1.07383,1.06396,1.06429,244405
2015-11-23,1.06384,1.06567,1.05921,1.06357,246863
2015-11-24,1.06357,1.06733,1.06194,1.06424,251992
2015-11-25,1.06424,1.06892,1.05657,1.0624,293052
2015-11-26,1.0624,1.06274,1.05999,1.06093,159999
2015-11-27,1.06093,1.06379,1.05684,1.05893,191086
2015-11-30,1.05882,1.0595,1.05579,1.05629,202566
2015-12-01,1.05629,1.06371,1.05623,1.06311,232813
2015-12-02,1.06311,1.0636,1.05507,1.06128,268424
2015-12-03,1.06128,1.09811,1.05168,1.0938,530178
2015-12-04,1.0938,1.09562,1.08361,1.08753,458395
2015-12-07,1.08706,1.08871,1.07961,1.0837,265750
2015-12-08,1.0837,1.09027,1.08301,1.08911,289988
2015-12-09,1.08911,1.10428,1.08791,1.10247,360369
2015-12-10,1.10247,1.10248,1.09246,1.09401,289780
2015-12-11,1.09401,1.10307,1.09266,1.09846,338850
2015-12-14,1.09832,1.10486,1.09455,1.09909,357221
2015-12-15,1.09909,1.10596,1.09047,1.09253,318649
2015-12-16,1.09253,1.10118,1.08873,1.0909,427960
2015-12-17,1.0909,1.09139,1.08026,1.08253,310945
2015-12-18,1.08253,1.08744,1.08049,1.08654,334229
2015-12-21,1.08516,1.09392,1.08469,1.09137,238752
2015-12-22,1.09137,1.0984,1.09023,1.09559,219411
2015-12-23,1.09559,1.09565,1.08697,1.09097,188054
2015-12-24,1.09097,1.09677,1.0903,1.09517,115061
2015-12-28,1.09517,1.09925,1.09489,1.09633,145131
2015-12-29,1.09633,1.09916,1.0899,1.09189,172021
2015-12-30,1.09189,1.09437,1.09017,1.09313,178347
2015-12-31,1.09313,1.09372,1.08528,1.08632,130046
2016-01-04,1.08733,1.09463,1.07811,1.08272,319703
2016-01-05,1.08272,1.08388,1.07106,1.07481,235435
2016-01-06,1.07481,1.07994,1.07115,1.07797,288361
2016-01-07,1.07797,1.09402,1.07711,1.09294,346824
2016-01-08,1.09294,1.09337,1.08033,1.09192,360919
2016-01-11,1.09152,1.09698,1.08476,1.08587,292152
2016-01-12,1.08587,1.09003,1.08195,1.08572,278616
2016-01-13,1.08572,1.08877,1.08049,1.08767,297114
2016-01-14,1.08767,1.09432,1.08346,1.08626,353004
2016-01-15,1.08626,1.09845,1.08544,1.09068,392838
2016-01-18,1.09215,1.09277,1.08687,1.08901,217924
2016-01-19,1.08901,1.09389,1.08593,1.09068,264016
2016-01-20,1.09068,1.0976,1.08772,1.08832,356639
2016-01-21,1.08832,1.09217,1.07775,1.08723,454582
2016-01-22,1.08723,1.08766,1.07891,1.07924,298490
2016-01-25,1.07911,1.08568,1.07828,1.08492,237740
2016-01-26,1.08492,1.08744,1.08187,1.08681,241186
2016-01-27,1.08681,1.09165,1.08506,1.08926,306340
2016-01-28,1.08926,1.09676,1.08696,1.09395,281764
2016-01-29,1.09395,1.09484,1.08098,1.08292,385153
2016-02-01,1.08312,1.09127,1.0815,1.08869,234303
2016-02-02,1.08869,1.094,1.08825,1.09181,233081
2016-02-03,1.09181,1.11455,1.09036,1.11029,407200
2016-02-04,1.11029,1.12393,1.10695,1.12059,446096
2016-02-05,1.12059,1.12448,1.11087,1.11523,417225
2016-02-08,1.11422,1.12159,1.10865,1.11924,376668
2016-02-09,1.11924,1.13381,1.11622,1.1292,535664
2016-02-10,1.1292,1.13114,1.11603,1.12885,545287
2016-02-11,1.12885,1.13764,1.12739,1.13218,680295
2016-02-12,1.13218,1.13335,1.12139,1.12489,435329
2016-02-15,1.1233,1.12491,1.1128,1.11521,287865
2016-02-16,1.11521,1.1193,1.11241,1.1141,321382
2016-02-17,1.1141,1.1179,1.11059,1.11281,322024
2016-02-18,1.11281,1.11496,1.10708,1.11058,309195
2016-02-19,1.11058,1.11392,1.10663,1.11263,296301
2016-02-22,1.11095,1.11246,1.1003,1.10271,269070
2016-02-23,1.10271,1.10527,1.09901,1.10181,284315
2016-02-24,1.10181,1.10463,1.09571,1.10104,334530
2016-02-25,1.10104,1.10498,1.09866,1.10173,279904
2016-02-26,1.10173,1.10682,1.09117,1.09249,283511
2016-02-29,1.09106,1.09626,1.08591,1.08725,274405
2016-03-01,1.08725,1.08934,1.08341,1.08658,287492
2016-03-02,1.08658,1.08811,1.08255,1.08679,246266
2016-03-03,1.08679,1.09727,1.08534,1.09555,247356
2016-03-04,1.09555,1.10433,1.0903,1.10017,325299
2016-03-07,1.09871,1.10257,1.094,1.10135,186050
2016-03-08,1.10135,1.10578,1.09935,1.10095,211163
2016-03-09,1.10095,1.10348,1.09459,1.09909,189474
2016-03-10,1.09909,1.12182,1.08217,1.11772,536818
2016-03-11,1.11772,1.12098,1.10802,1.11444,346677
2016-03-14,1.11365,1.11763,1.10778,1.10972,249193
2016-03-15,1.10972,1.1125,1.10714,1.11087,231943
2016-03-16,1.11087,1.12424,1.10578,1.12227,320547
2016-03-17,1.12227,1.13425,1.12048,1.13164,358591
2016-03-18,1.13164,1.13369,1.12558,1.12668,247053
2016-03-21,1.12568,1.12847,1.12342,1.12406,198973
2016-03-22,1.12406,1.12599,1.11882,1.12163,257227
2016-03-23,1.12163,1.12235,1.11594,1.11792,194894
2016-03-24,1.11792,1.11877,1.11439,1.11734,182205
2016-03-25,1.11734,1.11813,1.1153,1.11596,70927
2016-03-28,1.11591,1.12199,1.11527,1.11942,96063
2016-03-29,1.11942,1.13032,1.11689,1.12864,260166
2016-03-30,1.12864,1.13656,1.12832,1.13366,266164
2016-03-31,1.13366,1.14117,1.131,1.13763,281266
2016-04-01,1.13763,1.14378,1.13346,1.13904,323994
2016-04-04,1.13998,1.14127,1.13572,1.1387,214185
2016-04-05,1.1387,1.14051,1.13357,1.13801,244402
2016-04-06,1.13801,1.14319,1.13266,1.13977,273478
2016-04-07,1.13977,1.1454,1.13375,1.13762,290294
2016-04-08,1.13762,1.14191,1.13489,1.13929,179779
2016-04-11,1.14148,1.14474,1.13721,1.14033,187810
2016-04-12,1.14033,1.14646,1.13453,1.13833,242121
2016-04-13,1.13833,1.13911,1.12681,1.12722,248825
2016-04-14,1.12722,1.12948,1.12337,1.12656,226084
2016-04-15,1.12656,1.13169,1.12456,1.1275,191098
2016-04-18,1.13007,1.1332,1.12736,1.13103,179219
2016-04-19,1.13103,1.13846,1.13033,1.13565,181804
2016-04-20,1.13565,1.1388,1.12902,1.12952,197574
