signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
2024-01-16,2024-01-17,2024-01-23,SHORT,-0.003228,1.087510,1.091860,1.076635,1.085330,Time Exit (5 days),0.400000,1.000000,0.200458,0.160458,WIN,2024
2024-01-26,2024-01-29,2024-01-31,SHORT,-0.003228,1.084050,1.088386,1.073209,1.088386,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS,2024
2024-02-13,2024-02-14,2024-02-20,SHORT,-0.003228,1.070850,1.080748,1.046105,1.080748,Stop Loss,0.924299,2.310748,-0.924299,-0.964299,LOSS,2024
2024-02-19,2024-02-20,2024-02-22,SHORT,-0.003228,1.077690,1.086815,1.054877,1.086815,Stop Loss,0.846752,2.116879,-0.846752,-0.886752,LOSS,2024
2024-03-07,2024-03-08,2024-03-14,SHORT,-0.003228,1.094800,1.102417,1.075758,1.088300,Time Exit (5 days),0.695724,1.739310,0.593716,0.553716,WIN,2024
2024-03-27,2024-03-28,2024-04-03,SHORT,-0.003228,1.082780,1.090432,1.063650,1.083590,Time Exit (5 days),0.706713,1.766782,-0.074807,-0.114807,LOSS,2024
2024-04-01,2024-04-02,2024-04-03,SHORT,-0.003228,1.074280,1.082136,1.054641,1.082136,Stop Loss,0.731254,1.828135,-0.731254,-0.771254,LOSS,2024
2024-04-09,2024-04-10,2024-04-12,SHORT,-0.003228,1.085680,1.093470,1.066204,1.066204,Target,0.717556,1.793889,1.793889,1.753889,WIN,2024
2024-04-10,2024-04-11,2024-04-17,SHORT,-0.003228,1.074230,1.082564,1.053396,1.067270,Time Exit (5 days),0.775772,1.939429,0.647906,0.607906,WIN,2024
2024-04-11,2024-04-12,2024-04-18,SHORT,-0.003228,1.072590,1.080828,1.051994,1.064320,Time Exit (5 days),0.768067,1.920169,0.771031,0.731031,WIN,2024
2024-04-12,2024-04-15,2024-04-19,SHORT,-0.003228,1.063370,1.072321,1.040993,1.065210,Time Exit (5 days),0.841731,2.104327,-0.173035,-0.213035,LOSS,2024
2024-05-31,2024-06-03,2024-06-07,SHORT,-0.003228,1.084430,1.091804,1.065996,1.079760,Time Exit (5 days),0.679949,1.699873,0.430641,0.390641,WIN,2024
2024-06-03,2024-06-04,2024-06-10,SHORT,-0.003228,1.090420,1.097984,1.071509,1.076510,Time Exit (5 days),0.693704,1.734260,1.275655,1.235655,WIN,2024
2024-06-04,2024-06-05,2024-06-11,SHORT,-0.003228,1.087890,1.095284,1.069405,1.074040,Time Exit (5 days),0.679658,1.699144,1.273107,1.233107,WIN,2024
2024-06-05,2024-06-06,2024-06-12,SHORT,-0.003228,1.086840,1.094199,1.068444,1.080850,Time Exit (5 days),0.677061,1.692653,0.551139,0.511139,WIN,2024
2024-06-06,2024-06-07,2024-06-13,SHORT,-0.003228,1.088750,1.096079,1.070429,1.073710,Time Exit (5 days),0.673118,1.682795,1.381401,1.341401,WIN,2024
2024-06-07,2024-06-10,2024-06-14,SHORT,-0.003228,1.077400,1.085518,1.057104,1.070230,Time Exit (5 days),0.753500,1.883751,0.665491,0.625491,WIN,2024
2024-06-11,2024-06-12,2024-06-12,SHORT,-0.003228,1.074040,1.082595,1.052652,1.082595,Stop Loss,0.796559,1.991396,-0.796559,-0.836559,LOSS,2024
2024-06-13,2024-06-14,2024-06-20,SHORT,-0.003228,1.073710,1.083255,1.049847,1.070150,Time Exit (5 days),0.889007,2.222518,0.331561,0.291561,WIN,2024
2024-06-17,2024-06-18,2024-06-24,SHORT,-0.003228,1.073400,1.083622,1.047844,1.073200,Time Exit (5 days),0.952348,2.380869,0.018632,-0.021368,LOSS,2024
