pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
AUDUSD,2024-01-03,2024-01-04,2024-01-10,SHORT,-0.004182,0.673090,0.680879,0.653617,0.669960,Time Exit (5 days),1.157243,2.893107,0.465020,0.425020,WIN,2024
AUDUSD,2024-01-04,2024-01-05,2024-01-11,SHORT,-0.004182,0.670620,0.678385,0.651208,0.668710,Time Exit (5 days),1.157830,2.894576,0.284811,0.244811,WIN,2024
AUDUSD,2024-01-05,2024-01-08,2024-01-12,SHORT,-0.004182,0.671500,0.679934,0.650414,0.668140,Time Exit (5 days),1.256037,3.140091,0.500372,0.460372,WIN,2024
AUDUSD,2024-01-08,2024-01-09,2024-01-15,SHORT,-0.004182,0.671930,0.680180,0.651305,0.666050,Time Exit (5 days),1.227806,3.069516,0.875091,0.835091,WIN,2024
AUDUSD,2024-01-09,2024-01-10,2024-01-16,SHORT,-0.004182,0.668670,0.676947,0.647978,0.658380,Time Exit (5 days),1.237798,3.094496,1.538876,1.498876,WIN,2024
AUDUSD,2024-01-10,2024-01-11,2024-01-17,SHORT,-0.005182,0.669960,0.677741,0.650508,0.655150,Time Exit (5 days),1.161370,2.903425,2.210580,2.170580,WIN,2024
AUDUSD,2024-01-11,2024-01-12,2024-01-18,SHORT,-0.005182,0.668710,0.676779,0.648538,0.657260,Time Exit (5 days),1.206641,3.016602,1.712252,1.672252,WIN,2024
AUDUSD,2024-01-12,2024-01-15,2024-01-19,SHORT,-0.004182,0.668440,0.676946,0.647175,0.659520,Time Exit (5 days),1.272526,3.181314,1.334450,1.294450,WIN,2024
AUDUSD,2024-01-15,2024-01-16,2024-01-22,SHORT,-0.004182,0.666050,0.674755,0.644287,0.656960,Time Exit (5 days),1.307013,3.267531,1.364762,1.324762,WIN,2024
AUDUSD,2024-01-31,2024-02-01,2024-02-05,LONG,0.003502,0.656680,0.648529,0.677059,0.648529,Stop Loss,1.241309,3.103273,-1.241309,-1.281309,LOSS,2024
