pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome
AUDUSD,2002-12-09,2002-12-10,2002-12-12,SHORT,-0.006545,0.563400,0.565654,0.557766,0.565654,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
AUDUSD,2002-12-11,2002-12-12,2002-12-12,SHORT,-0.006545,0.560400,0.562642,0.554796,0.562642,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
AUDUSD,2002-12-13,2002-12-16,2002-12-16,SHORT,-0.007940,0.564900,0.567160,0.559251,0.567160,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
AUDUSD,2002-12-17,2002-12-18,2002-12-24,SHORT,-0.006545,0.566000,0.571518,0.552205,0.563400,Time Exit (5 days),0.974886,2.437216,0.459364,0.419364,WIN
AUDUSD,2002-12-18,2002-12-19,2002-12-26,SHORT,-0.007307,0.565000,0.570529,0.551179,0.563400,Time Exit (5 days),0.978508,2.446271,0.283186,0.243186,WIN
AUDUSD,2002-12-19,2002-12-20,2002-12-27,SHORT,-0.004379,0.565600,0.570946,0.552234,0.560800,Time Exit (5 days),0.945267,2.363167,0.848656,0.808656,WIN
AUDUSD,2002-12-20,2002-12-23,2002-12-30,SHORT,-0.004379,0.562600,0.567946,0.549234,0.565100,Time Exit (5 days),0.950307,2.375768,-0.444365,-0.484365,LOSS
AUDUSD,2002-12-24,2002-12-26,2003-01-02,LONG,0.012497,0.563400,0.557882,0.577195,0.563700,Time Exit (5 days),0.979385,2.448463,0.053248,0.013248,WIN
AUDUSD,2002-12-26,2002-12-27,2003-01-03,LONG,0.012497,0.563400,0.557850,0.577275,0.567300,Time Exit (5 days),0.985091,2.462726,0.692226,0.652226,WIN
AUDUSD,2002-12-30,2002-12-31,2003-01-06,SHORT,-0.004379,0.565100,0.571089,0.550127,0.571089,Stop Loss,1.059863,2.649657,-1.059863,-1.099863,LOSS
AUDUSD,2003-01-02,2003-01-03,2003-01-06,SHORT,-0.003471,0.563700,0.570321,0.547146,0.570321,Stop Loss,1.174637,2.936592,-1.174637,-1.214637,LOSS
AUDUSD,2003-01-06,2003-01-07,2003-01-10,SHORT,-0.003471,0.576000,0.583146,0.558134,0.583146,Stop Loss,1.240699,3.101749,-1.240699,-1.280699,LOSS
AUDUSD,2003-01-08,2003-01-09,2003-01-13,SHORT,-0.004417,0.576500,0.583861,0.558098,0.583861,Stop Loss,1.276793,3.191984,-1.276793,-1.316793,LOSS
