pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
AUDUSD,2025-01-15,2025-01-16,2025-01-22,LONG,0.014244,0.622620,0.615435,0.640582,0.627240,Time Exit (5 days),1.153994,2.884986,0.742026,0.702026,WIN,2025
AUDUSD,2025-01-16,2025-01-17,2025-01-23,LONG,0.014244,0.621180,0.613690,0.639906,0.628350,Time Exit (5 days),1.205827,3.014568,1.154255,1.114255,WIN,2025
AUDUSD,2025-01-17,2025-01-20,2025-01-24,LONG,0.013499,0.619620,0.611935,0.638833,0.631010,Time Exit (5 days),1.240334,3.100835,1.838223,1.798223,WIN,2025
AUDUSD,2025-01-20,2025-01-21,2025-01-27,LONG,0.014244,0.627310,0.619123,0.647777,0.629130,Time Exit (5 days),1.305062,3.262656,0.290128,0.250128,WIN,2025
AUDUSD,2025-01-21,2025-01-22,2025-01-28,LONG,0.013371,0.627220,0.618241,0.649666,0.625170,Time Exit (5 days),1.431487,3.578717,-0.326839,-0.366839,LOSS,2025
AUDUSD,2025-01-23,2025-01-24,2025-01-30,LONG,0.012640,0.628350,0.619114,0.651439,0.620850,Time Exit (5 days),1.469836,3.674590,-1.193602,-1.233602,LOSS,2025
AUDUSD,2025-01-27,2025-01-28,2025-01-30,LONG,0.014116,0.629130,0.620645,0.650342,0.620645,Stop Loss,1.348631,3.371578,-1.348631,-1.388631,LOSS,2025
AUDUSD,2025-01-29,2025-01-30,2025-02-03,LONG,0.014116,0.622700,0.614185,0.643987,0.614185,Stop Loss,1.367375,3.418437,-1.367375,-1.407375,LOSS,2025
AUDUSD,2025-01-31,2025-02-03,2025-02-07,LONG,0.014116,0.615750,0.607293,0.636892,0.626240,Time Exit (5 days),1.373412,3.433531,1.703613,1.663613,WIN,2025
AUDUSD,2025-02-03,2025-02-04,2025-02-10,LONG,0.014116,0.622560,0.612942,0.646606,0.627620,Time Exit (5 days),1.544946,3.862364,0.812773,0.772773,WIN,2025
AUDUSD,2025-02-04,2025-02-05,2025-02-11,LONG,0.014116,0.624790,0.614891,0.649537,0.629370,Time Exit (5 days),1.584361,3.960902,0.733046,0.693046,WIN,2025
