pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
GBPUSD,2024-01-01,2024-01-02,2024-01-08,SHORT,-0.003450,1.272910,1.287499,1.236439,1.274730,Time Exit (5 days),1.146080,2.865201,-0.142979,-0.182979,LOSS,2024
GBPUSD,2024-01-03,2024-01-04,2024-01-10,SHORT,-0.003662,1.266440,1.279928,1.232719,1.274190,Time Exit (5 days),1.065050,2.662624,-0.611952,-0.651952,LOSS,2024
GBPUSD,2024-01-05,2024-01-08,2024-01-12,SHORT,-0.003450,1.271580,1.285441,1.236927,1.274790,Time Exit (5 days),1.090067,2.725167,-0.252442,-0.292442,LOSS,2024
GBPUSD,2024-01-09,2024-01-10,2024-01-16,SHORT,-0.003450,1.270930,1.284048,1.238136,1.263570,Time Exit (5 days),1.032118,2.580296,0.579103,0.539103,WIN,2024
GBPUSD,2024-01-10,2024-01-11,2024-01-17,SHORT,-0.003662,1.274190,1.287033,1.242082,1.267600,Time Exit (5 days),1.007951,2.519878,0.517191,0.477191,WIN,2024
GBPUSD,2024-03-04,2024-03-05,2024-03-06,SHORT,-0.004449,1.269160,1.274237,1.256468,1.274237,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS,2024
GBPUSD,2024-03-06,2024-03-07,2024-03-07,SHORT,-0.003475,1.273080,1.278172,1.260349,1.278172,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS,2024
GBPUSD,2024-03-08,2024-03-11,2024-03-15,SHORT,-0.004449,1.285360,1.290501,1.272506,1.272506,Target,0.400000,1.000000,1.000000,0.960000,WIN,2024
GBPUSD,2024-03-11,2024-03-12,2024-03-18,SHORT,-0.004449,1.281350,1.286475,1.268536,1.272820,Time Exit (5 days),0.400000,1.000000,0.665704,0.625704,WIN,2024
GBPUSD,2024-03-12,2024-03-13,2024-03-19,SHORT,-0.004449,1.279260,1.284377,1.266467,1.272130,Time Exit (5 days),0.400000,1.000000,0.557353,0.517353,WIN,2024
GBPUSD,2024-03-13,2024-03-14,2024-03-19,SHORT,-0.004449,1.279670,1.284789,1.266873,1.266873,Target,0.400000,1.000000,1.000000,0.960000,WIN,2024
GBPUSD,2024-03-14,2024-03-15,2024-03-21,SHORT,-0.004449,1.275290,1.280391,1.262537,1.265780,Time Exit (5 days),0.400000,1.000000,0.745713,0.705713,WIN,2024
GBPUSD,2024-03-15,2024-03-18,2024-03-20,SHORT,-0.004449,1.272900,1.277992,1.260171,1.277992,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS,2024
GBPUSD,2024-03-19,2024-03-20,2024-03-20,SHORT,-0.004449,1.272130,1.277219,1.259409,1.277219,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS,2024
GBPUSD,2024-03-21,2024-03-22,2024-03-28,SHORT,-0.004449,1.265780,1.276932,1.237899,1.262340,Time Exit (5 days),0.881077,2.202693,0.271769,0.231769,WIN,2024
GBPUSD,2024-03-22,2024-03-25,2024-03-29,SHORT,-0.004449,1.258710,1.270293,1.229752,1.261760,Time Exit (5 days),0.920245,2.300612,-0.242312,-0.282312,LOSS,2024
GBPUSD,2024-03-26,2024-03-27,2024-04-02,SHORT,-0.004449,1.262750,1.274074,1.234440,1.257740,Time Exit (5 days),0.896767,2.241918,0.396753,0.356753,WIN,2024
GBPUSD,2024-03-27,2024-03-28,2024-04-03,SHORT,-0.004449,1.264020,1.274781,1.237116,1.265190,Time Exit (5 days),0.851365,2.128413,-0.092562,-0.132562,LOSS,2024
GBPUSD,2024-03-29,2024-04-01,2024-04-05,SHORT,-0.003475,1.261760,1.271915,1.236372,1.263680,Time Exit (5 days),0.804828,2.012070,-0.152168,-0.192168,LOSS,2024
GBPUSD,2024-04-02,2024-04-03,2024-04-04,SHORT,-0.003475,1.257740,1.268173,1.231659,1.268173,Stop Loss,0.829464,2.073660,-0.829464,-0.869464,LOSS,2024
GBPUSD,2024-04-17,2024-04-18,2024-04-24,SHORT,-0.003475,1.245370,1.257142,1.215941,1.246350,Time Exit (5 days),0.945244,2.363110,-0.078691,-0.118691,LOSS,2024
GBPUSD,2024-04-19,2024-04-22,2024-04-25,SHORT,-0.004449,1.236540,1.248526,1.206575,1.248526,Stop Loss,0.969323,2.423308,-0.969323,-1.009323,LOSS,2024
GBPUSD,2024-04-23,2024-04-24,2024-04-30,SHORT,-0.004449,1.244860,1.257779,1.212562,1.249170,Time Exit (5 days),1.037810,2.594526,-0.346224,-0.386224,LOSS,2024
GBPUSD,2024-04-25,2024-04-26,2024-05-02,SHORT,-0.004449,1.251300,1.264216,1.219010,1.253450,Time Exit (5 days),1.032212,2.580531,-0.171821,-0.211821,LOSS,2024
GBPUSD,2024-04-29,2024-04-30,2024-05-06,SHORT,-0.004449,1.256250,1.269914,1.222090,1.256210,Time Exit (5 days),1.087676,2.719190,0.003184,-0.036816,LOSS,2024
GBPUSD,2024-05-01,2024-05-02,2024-05-08,SHORT,-0.004449,1.252650,1.265268,1.221104,1.249750,Time Exit (5 days),1.007322,2.518304,0.231509,0.191509,WIN,2024
GBPUSD,2024-05-02,2024-05-03,2024-05-09,SHORT,-0.004449,1.253450,1.265433,1.223493,1.252370,Time Exit (5 days),0.955990,2.389975,0.086162,0.046162,WIN,2024
GBPUSD,2024-05-03,2024-05-06,2024-05-10,SHORT,-0.004449,1.253970,1.266421,1.222842,1.252110,Time Exit (5 days),0.992932,2.482330,0.148329,0.108329,WIN,2024
GBPUSD,2024-05-06,2024-05-07,2024-05-13,SHORT,-0.004449,1.256210,1.268598,1.225240,1.255880,Time Exit (5 days),0.986129,2.465324,0.026269,-0.013731,LOSS,2024
GBPUSD,2024-05-08,2024-05-09,2024-05-15,SHORT,-0.004449,1.249750,1.262107,1.218858,1.262107,Stop Loss,0.988741,2.471852,-0.988741,-1.028741,LOSS,2024
GBPUSD,2024-05-10,2024-05-13,2024-05-15,SHORT,-0.004449,1.251120,1.262621,1.222368,1.262621,Stop Loss,0.919234,2.298084,-0.919234,-0.959234,LOSS,2024
GBPUSD,2024-05-14,2024-05-15,2024-05-17,SHORT,-0.004449,1.259190,1.270347,1.231298,1.270347,Stop Loss,0.886029,2.215072,-0.886029,-0.926029,LOSS,2024
GBPUSD,2024-05-16,2024-05-17,2024-05-23,SHORT,-0.004449,1.266930,1.278014,1.239220,1.269810,Time Exit (5 days),0.874865,2.187163,-0.227321,-0.267321,LOSS,2024
GBPUSD,2024-05-20,2024-05-21,2024-05-27,SHORT,-0.004449,1.270600,1.281061,1.244446,1.276790,Time Exit (5 days),0.823346,2.058364,-0.487171,-0.527171,LOSS,2024
GBPUSD,2024-05-22,2024-05-23,2024-05-29,SHORT,-0.004449,1.271660,1.281532,1.246980,1.270000,Time Exit (5 days),0.776319,1.940798,0.130538,0.090538,WIN,2024
GBPUSD,2024-05-23,2024-05-24,2024-05-28,SHORT,-0.004449,1.269810,1.279140,1.246485,1.279140,Stop Loss,0.734756,1.836889,-0.734756,-0.774756,LOSS,2024
GBPUSD,2024-07-26,2024-07-29,2024-08-02,SHORT,-0.003048,1.285420,1.294284,1.263260,1.279930,Time Exit (5 days),0.689575,1.723936,0.427098,0.387098,WIN,2024
GBPUSD,2024-08-02,2024-08-05,2024-08-09,SHORT,-0.004116,1.279470,1.289406,1.254629,1.275710,Time Exit (5 days),0.776605,1.941513,0.293872,0.253872,WIN,2024
GBPUSD,2024-08-05,2024-08-06,2024-08-12,SHORT,-0.004116,1.277350,1.287985,1.250762,1.275670,Time Exit (5 days),0.832583,2.081458,0.131522,0.091522,WIN,2024
GBPUSD,2024-08-06,2024-08-07,2024-08-13,SHORT,-0.004116,1.269070,1.280237,1.241151,1.280237,Stop Loss,0.879975,2.199938,-0.879975,-0.919975,LOSS,2024
GBPUSD,2024-09-18,2024-09-19,2024-09-20,SHORT,-0.003194,1.321210,1.333582,1.290281,1.333582,Stop Loss,0.936398,2.340995,-0.936398,-0.976398,LOSS,2024
GBPUSD,2024-10-18,2024-10-21,2024-10-25,SHORT,-0.003194,1.303960,1.316022,1.273805,1.295220,Time Exit (5 days),0.925039,2.312598,0.670266,0.630266,WIN,2024
GBPUSD,2024-10-21,2024-10-22,2024-10-28,SHORT,-0.003194,1.298370,1.309662,1.270141,1.297120,Time Exit (5 days),0.869689,2.174223,0.096275,0.056275,WIN,2024
GBPUSD,2024-10-22,2024-10-23,2024-10-29,SHORT,-0.003194,1.298300,1.309710,1.269776,1.301440,Time Exit (5 days),0.878814,2.197035,-0.241855,-0.281855,LOSS,2024
GBPUSD,2024-10-24,2024-10-25,2024-10-31,SHORT,-0.003194,1.297470,1.307607,1.272128,1.289840,Time Exit (5 days),0.781273,1.953183,0.588068,0.548068,WIN,2024
GBPUSD,2024-10-25,2024-10-28,2024-11-01,SHORT,-0.003194,1.296790,1.306613,1.272233,1.291320,Time Exit (5 days),0.757475,1.893687,0.421811,0.381811,WIN,2024
GBPUSD,2024-10-28,2024-10-29,2024-11-04,SHORT,-0.003194,1.297120,1.307075,1.272233,1.295680,Time Exit (5 days),0.767442,1.918605,0.111015,0.071015,WIN,2024
GBPUSD,2024-10-29,2024-10-30,2024-11-05,SHORT,-0.003194,1.301440,1.311497,1.276296,1.304070,Time Exit (5 days),0.772798,1.931995,-0.202084,-0.242084,LOSS,2024
GBPUSD,2024-10-31,2024-11-01,2024-11-05,SHORT,-0.003194,1.289840,1.301379,1.260992,1.301379,Stop Loss,0.894629,2.236573,-0.894629,-0.934629,LOSS,2024
GBPUSD,2024-11-04,2024-11-05,2024-11-11,SHORT,-0.003194,1.295680,1.307991,1.264903,1.286720,Time Exit (5 days),0.950135,2.375338,0.691529,0.651529,WIN,2024
GBPUSD,2024-11-05,2024-11-06,2024-11-12,SHORT,-0.003194,1.304070,1.316320,1.273446,1.273446,Target,0.939339,2.348348,2.348348,2.308348,WIN,2024
GBPUSD,2024-11-06,2024-11-07,2024-11-13,SHORT,-0.003194,1.287870,1.301875,1.252858,1.270700,Time Exit (5 days),1.087427,2.718567,1.333209,1.293209,WIN,2024
GBPUSD,2024-11-07,2024-11-08,2024-11-14,SHORT,-0.003194,1.298540,1.313295,1.261653,1.266450,Time Exit (5 days),1.136249,2.840622,2.471237,2.431237,WIN,2024
GBPUSD,2024-11-08,2024-11-11,2024-11-15,SHORT,-0.003194,1.290420,1.305435,1.252882,1.261680,Time Exit (5 days),1.163575,2.908937,2.227182,2.187182,WIN,2024
GBPUSD,2024-11-11,2024-11-12,2024-11-18,SHORT,-0.003194,1.286720,1.301728,1.249201,1.267770,Time Exit (5 days),1.166338,2.915844,1.472737,1.432737,WIN,2024
GBPUSD,2024-11-12,2024-11-13,2024-11-19,SHORT,-0.003194,1.274700,1.290423,1.235392,1.268100,Time Exit (5 days),1.233484,3.083709,0.517769,0.477769,WIN,2024
GBPUSD,2024-11-13,2024-11-14,2024-11-20,SHORT,-0.003194,1.270700,1.286459,1.231304,1.265110,Time Exit (5 days),1.240149,3.100372,0.439915,0.399915,WIN,2024
GBPUSD,2024-11-14,2024-11-15,2024-11-21,SHORT,-0.003194,1.266450,1.282684,1.225864,1.258850,Time Exit (5 days),1.281873,3.204684,0.600103,0.560103,WIN,2024
GBPUSD,2024-11-15,2024-11-18,2024-11-22,SHORT,-0.003194,1.261680,1.278324,1.220071,1.252320,Time Exit (5 days),1.319159,3.297899,0.741868,0.701868,WIN,2024
GBPUSD,2024-11-18,2024-11-19,2024-11-25,SHORT,-0.003194,1.267770,1.284673,1.225513,1.256760,Time Exit (5 days),1.333275,3.333187,0.868454,0.828454,WIN,2024
GBPUSD,2024-11-19,2024-11-20,2024-11-26,SHORT,-0.003194,1.268100,1.284677,1.226657,1.256810,Time Exit (5 days),1.307243,3.268106,0.890308,0.850308,WIN,2024
GBPUSD,2024-11-20,2024-11-21,2024-11-27,SHORT,-0.003194,1.265110,1.280910,1.225609,1.267850,Time Exit (5 days),1.248931,3.122329,-0.216582,-0.256582,LOSS,2024
GBPUSD,2024-11-22,2024-11-25,2024-11-29,SHORT,-0.003194,1.258990,1.274901,1.219213,1.274901,Stop Loss,1.263768,3.159420,-1.263768,-1.303768,LOSS,2024
GBPUSD,2024-11-26,2024-11-27,2024-11-29,SHORT,-0.003194,1.256810,1.271551,1.219958,1.271551,Stop Loss,1.172867,2.932168,-1.172867,-1.212867,LOSS,2024
GBPUSD,2024-11-28,2024-11-29,2024-12-05,SHORT,-0.003194,1.268300,1.282295,1.233313,1.275750,Time Exit (5 days),1.103446,2.758614,-0.587400,-0.627400,LOSS,2024
GBPUSD,2024-12-02,2024-12-03,2024-12-06,SHORT,-0.003194,1.264830,1.278523,1.230598,1.278523,Stop Loss,1.082585,2.706462,-1.082585,-1.122585,LOSS,2024
GBPUSD,2024-12-04,2024-12-05,2024-12-11,SHORT,-0.003194,1.270040,1.283540,1.236290,1.274990,Time Exit (5 days),1.062959,2.657397,-0.389752,-0.429752,LOSS,2024
GBPUSD,2024-12-06,2024-12-09,2024-12-13,SHORT,-0.003194,1.273050,1.286399,1.239678,1.260920,Time Exit (5 days),1.048578,2.621446,0.952830,0.912830,WIN,2024
GBPUSD,2024-12-09,2024-12-10,2024-12-16,SHORT,-0.003194,1.274970,1.288384,1.241434,1.268160,Time Exit (5 days),1.052126,2.630314,0.534130,0.494130,WIN,2024
GBPUSD,2024-12-10,2024-12-11,2024-12-17,SHORT,-0.003194,1.277060,1.290159,1.244312,1.270870,Time Exit (5 days),1.025738,2.564344,0.484707,0.444707,WIN,2024
GBPUSD,2024-12-11,2024-12-12,2024-12-18,SHORT,-0.003194,1.274990,1.287920,1.242665,1.257310,Time Exit (5 days),1.014126,2.535314,1.386678,1.346678,WIN,2024
GBPUSD,2024-12-12,2024-12-13,2024-12-19,SHORT,-0.003194,1.267250,1.280333,1.234542,1.250050,Time Exit (5 days),1.032410,2.581025,1.357270,1.317270,WIN,2024
