pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome
GBPUSD,2002-12-31,2003-01-02,2003-01-08,SHORT,-0.004990,1.610100,1.623761,1.575948,1.612800,Time Exit (5 days),0.848439,2.121097,-0.167691,-0.207691,LOSS
GBPUSD,2003-05-22,2003-05-23,2003-05-26,SHORT,-0.004990,1.634500,1.653625,1.586688,1.637400,Time Exit (5 days),1.170083,2.925206,-0.177424,-0.217424,LOSS
GBPUSD,2003-05-27,2003-05-28,2003-05-29,SHORT,-0.006905,1.638200,1.644753,1.621818,1.644753,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-05-29,2003-05-30,2003-05-30,SHORT,-0.006905,1.654300,1.660917,1.637757,1.637757,Target,0.400000,1.000000,1.000000,0.960000,WIN
GBPUSD,2003-05-30,2003-06-02,2003-06-03,SHORT,-0.006905,1.635500,1.642042,1.619145,1.642042,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-06-03,2003-06-04,2003-06-05,SHORT,-0.006905,1.628400,1.634914,1.612116,1.634914,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-06-05,2003-06-06,2003-06-06,SHORT,-0.006905,1.659900,1.666540,1.643301,1.666540,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-06-09,2003-06-10,2003-06-10,SHORT,-0.006905,1.645200,1.651781,1.628748,1.651781,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-06-11,2003-06-12,2003-06-12,SHORT,-0.006905,1.666600,1.673266,1.649934,1.673266,Stop Loss,0.400000,1.000000,-0.400000,-0.440000,LOSS
GBPUSD,2003-06-13,2003-06-16,2003-06-20,SHORT,-0.006905,1.672400,1.698200,1.607900,1.661100,Time Exit (5 days),1.542693,3.856733,0.675676,0.635676,WIN
GBPUSD,2003-06-16,2003-06-17,2003-06-23,SHORT,-0.006905,1.676600,1.703246,1.609984,1.668100,Time Exit (5 days),1.589313,3.973284,0.506978,0.466978,WIN
GBPUSD,2003-06-17,2003-06-18,2003-06-24,SHORT,-0.006376,1.684100,1.710886,1.617136,1.663500,Time Exit (5 days),1.590506,3.976265,1.223205,1.183205,WIN
GBPUSD,2003-06-18,2003-06-19,2003-06-25,SHORT,-0.006376,1.678500,1.704054,1.614616,1.673800,Time Exit (5 days),1.522405,3.806013,0.280012,0.240012,WIN
GBPUSD,2003-06-19,2003-06-20,2003-06-26,SHORT,-0.006376,1.679300,1.704007,1.617532,1.660700,Time Exit (5 days),1.471276,3.678191,1.107604,1.067604,WIN
GBPUSD,2003-06-20,2003-06-23,2003-06-27,SHORT,-0.006376,1.661100,1.686782,1.596895,1.648700,Time Exit (5 days),1.546093,3.865231,0.746493,0.706493,WIN
GBPUSD,2003-06-23,2003-06-24,2003-06-30,SHORT,-0.006376,1.668100,1.693268,1.605180,1.654900,Time Exit (5 days),1.508774,3.771935,0.791319,0.751319,WIN
GBPUSD,2003-06-24,2003-06-25,2003-07-01,SHORT,-0.006376,1.663500,1.689118,1.599455,1.662600,Time Exit (5 days),1.539997,3.849994,0.054103,0.014103,WIN
GBPUSD,2003-06-25,2003-06-26,2003-07-02,SHORT,-0.006376,1.673800,1.697896,1.613559,1.664600,Time Exit (5 days),1.439624,3.599060,0.549648,0.509648,WIN
GBPUSD,2003-06-26,2003-06-27,2003-07-03,SHORT,-0.006376,1.660700,1.684604,1.600941,1.668400,Time Exit (5 days),1.439367,3.598418,-0.463660,-0.503660,LOSS
GBPUSD,2003-06-30,2003-07-01,2003-07-07,SHORT,-0.006376,1.654900,1.677893,1.597418,1.649300,Time Exit (5 days),1.389380,3.473451,0.338389,0.298389,WIN
GBPUSD,2003-07-01,2003-07-02,2003-07-08,SHORT,-0.006376,1.662600,1.684886,1.606886,1.635200,Time Exit (5 days),1.340413,3.351034,1.648021,1.608021,WIN
