pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
USDJPY,2025-03-29,2025-03-30,2025-04-03,LONG,0.005119,149.617000,147.802321,154.153696,147.802321,Stop Loss,1.212883,3.032207,-1.212883,-1.252883,LOSS,2025
USDJPY,2025-03-31,2025-04-01,2025-04-03,LONG,0.003459,149.950000,148.007394,154.806515,148.007394,Stop Loss,1.295503,3.238756,-1.295503,-1.335503,LOSS,2025
USDJPY,2025-04-02,2025-04-03,2025-04-03,LONG,0.003459,149.213000,147.254323,154.109694,147.254323,Stop Loss,1.312672,3.281680,-1.312672,-1.352672,LOSS,2025
USDJPY,2025-04-04,2025-04-06,2025-04-10,LONG,0.003459,145.433000,142.984894,151.553265,144.422000,Time Exit (5 days),1.683322,4.208306,-0.695165,-0.735165,LOSS,2025
USDJPY,2025-04-07,2025-04-08,2025-04-09,LONG,0.003459,147.812000,144.899964,155.092089,144.899964,Stop Loss,1.970094,4.925236,-1.970094,-2.010094,LOSS,2025
USDJPY,2025-04-09,2025-04-10,2025-04-10,LONG,0.003459,147.707000,144.409893,155.949768,144.409893,Stop Loss,2.232194,5.580486,-2.232194,-2.272194,LOSS,2025
USDJPY,2025-04-14,2025-04-15,2025-04-20,LONG,0.003193,143.006000,139.175536,152.582161,142.090000,Time Exit (5 days),2.678534,6.696335,-0.640533,-0.680533,LOSS,2025
USDJPY,2025-04-17,2025-04-18,2025-04-23,LONG,0.003459,142.420000,138.670106,151.794735,143.392000,Time Exit (5 days),2.632983,6.582457,0.682488,0.642488,WIN,2025
USDJPY,2025-04-18,2025-04-20,2025-04-24,LONG,0.005119,142.095990,138.457310,151.192689,142.565000,Time Exit (5 days),2.560719,6.401799,0.330066,0.290066,WIN,2025
USDJPY,2025-04-20,2025-04-21,2025-04-25,LONG,0.005119,142.023000,138.818035,150.035413,143.637000,Time Exit (5 days),2.256652,5.641631,1.136436,1.096436,WIN,2025
USDJPY,2025-04-21,2025-04-22,2025-04-27,LONG,0.005119,140.859000,137.786463,148.540342,143.530000,Time Exit (5 days),2.181285,5.453213,1.896222,1.856222,WIN,2025
USDJPY,2025-04-22,2025-04-23,2025-04-28,LONG,0.005119,141.579000,138.622714,148.969714,141.960000,Time Exit (5 days),2.088082,5.220205,0.269108,0.229108,WIN,2025
USDJPY,2025-04-23,2025-04-24,2025-04-29,LONG,0.005119,143.392000,140.565464,150.458339,142.295000,Time Exit (5 days),1.971195,4.927987,-0.765036,-0.805036,LOSS,2025
USDJPY,2025-04-25,2025-04-27,2025-05-01,LONG,0.005119,143.543000,141.129393,149.577018,145.320000,Time Exit (5 days),1.681452,4.203631,1.237957,1.197957,WIN,2025
USDJPY,2025-04-27,2025-04-28,2025-05-02,LONG,0.005119,143.533000,141.459571,148.716571,144.953000,Time Exit (5 days),1.444566,3.611414,0.989320,0.949320,WIN,2025
USDJPY,2025-04-28,2025-04-29,2025-05-03,LONG,0.005119,141.960000,139.952250,146.979375,144.918000,Time Exit (5 days),1.414307,3.535767,2.083686,2.043686,WIN,2025
USDJPY,2025-04-29,2025-04-30,2025-05-04,LONG,0.005119,142.295000,140.392571,147.051071,144.274000,Time Exit (5 days),1.336961,3.342402,1.390773,1.350773,WIN,2025
USDJPY,2025-04-30,2025-05-01,2025-05-05,LONG,0.005119,143.046000,141.230893,147.583768,143.676000,Time Exit (5 days),1.268898,3.172244,0.440418,0.400418,WIN,2025
USDJPY,2025-05-01,2025-05-02,2025-05-06,LONG,0.005119,145.320000,143.305500,150.356250,143.305500,Stop Loss,1.386251,3.465628,-1.386251,-1.426251,LOSS,2025
USDJPY,2025-05-03,2025-05-04,2025-05-06,LONG,0.005119,144.918000,142.766144,150.297640,142.766144,Stop Loss,1.484878,3.712196,-1.484878,-1.524878,LOSS,2025
USDJPY,2025-05-05,2025-05-06,2025-05-10,LONG,0.005119,143.676000,141.307930,149.596176,145.323000,Time Exit (5 days),1.648202,4.120504,1.146329,1.106329,WIN,2025
USDJPY,2025-05-06,2025-05-07,2025-05-11,LONG,0.005119,142.414000,140.016680,148.407301,145.797000,Time Exit (5 days),1.683346,4.208365,2.375469,2.335469,WIN,2025
USDJPY,2025-05-07,2025-05-08,2025-05-12,LONG,0.003459,143.818000,141.441144,149.760140,148.452000,Time Exit (5 days),1.652683,4.131708,3.222128,3.182128,WIN,2025
USDJPY,2025-05-08,2025-05-09,2025-05-13,LONG,0.003459,145.894000,143.451465,152.000337,147.460000,Time Exit (5 days),1.674184,4.185461,1.073382,1.033382,WIN,2025
USDJPY,2025-05-09,2025-05-10,2025-05-14,LONG,0.003459,145.836000,143.368180,152.005551,146.744000,Time Exit (5 days),1.692189,4.230472,0.622617,0.582617,WIN,2025
USDJPY,2025-05-10,2025-05-11,2025-05-15,LONG,0.003459,145.750000,143.293538,151.891155,145.640000,Time Exit (5 days),1.685394,4.213486,-0.075472,-0.115472,LOSS,2025
USDJPY,2025-05-12,2025-05-13,2025-05-14,LONG,0.003459,148.452000,145.840824,154.979941,145.840824,Stop Loss,1.758937,4.397341,-1.758937,-1.798937,LOSS,2025
USDJPY,2025-05-14,2025-05-15,2025-05-20,LONG,0.003459,146.744000,143.992574,153.622566,144.496000,Time Exit (5 days),1.874984,4.687460,-1.531920,-1.571920,LOSS,2025
USDJPY,2025-05-16,2025-05-18,2025-05-22,LONG,0.003459,145.298000,142.817966,151.498084,142.817966,Stop Loss,1.706860,4.267150,-1.706860,-1.746860,LOSS,2025
USDJPY,2025-05-19,2025-05-20,2025-05-23,LONG,0.003459,144.852000,142.519180,150.684051,142.519180,Stop Loss,1.610485,4.026214,-1.610485,-1.650485,LOSS,2025
USDJPY,2025-05-21,2025-05-22,2025-05-27,LONG,0.003459,143.656000,141.396572,149.304569,144.321000,Time Exit (5 days),1.572804,3.932010,0.462911,0.422911,WIN,2025
USDJPY,2025-05-22,2025-05-23,2025-05-28,LONG,0.003459,144.006000,141.745501,149.657247,144.815000,Time Exit (5 days),1.569726,3.924314,0.561782,0.521782,WIN,2025
USDJPY,2025-05-23,2025-05-25,2025-05-29,LONG,0.003459,142.867000,140.722430,148.228426,144.164000,Time Exit (5 days),1.501096,3.752739,0.907837,0.867837,WIN,2025
USDJPY,2025-05-25,2025-05-26,2025-05-30,LONG,0.003459,142.415000,140.330857,147.625357,144.038000,Time Exit (5 days),1.463429,3.658573,1.139627,1.099627,WIN,2025
USDJPY,2025-05-26,2025-05-27,2025-06-01,LONG,0.003459,142.835000,140.805499,147.908753,143.592000,Time Exit (5 days),1.420871,3.552177,0.529982,0.489982,WIN,2025
USDJPY,2025-05-27,2025-05-28,2025-06-02,LONG,0.003459,144.321000,142.142785,149.766538,142.654000,Time Exit (5 days),1.509285,3.773213,-1.155064,-1.195064,LOSS,2025
USDJPY,2025-05-29,2025-05-30,2025-06-04,LONG,0.003459,144.164000,142.036570,149.482574,142.763000,Time Exit (5 days),1.475701,3.689253,-0.971810,-1.011810,LOSS,2025
USDJPY,2025-06-01,2025-06-02,2025-06-06,LONG,0.003459,144.097000,142.142178,148.984056,144.813000,Time Exit (5 days),1.356602,3.391505,0.496888,0.456888,WIN,2025
USDJPY,2025-06-02,2025-06-03,2025-06-07,LONG,0.003459,142.654000,140.658356,147.643110,144.787990,Time Exit (5 days),1.398940,3.497350,1.495920,1.455920,WIN,2025
