pair,signal_date,entry_date,exit_date,signal,prediction,entry_price,stop_price,target_price,exit_price,exit_reason,stop_pct,target_pct,raw_return_pct,net_return_pct,outcome,year
USDJPY,2025-07-01,2025-07-02,2025-07-02,LONG,0.003459,143.396000,141.618286,147.840286,143.640000,Time Exit (5 days),1.239724,3.099309,0.170158,0.130158,WIN,2025
USDJPY,2025-06-29,2025-06-30,2025-07-02,LONG,0.003459,144.295000,142.490500,148.806250,143.640000,Time Exit (5 days),1.250563,3.126408,-0.453931,-0.493931,LOSS,2025
USDJPY,2025-06-24,2025-06-25,2025-06-30,SHORT,-0.003406,144.889000,146.700250,140.360875,143.975000,Time Exit (5 days),1.250095,3.125237,0.630828,0.590828,WIN,2025
USDJPY,2025-06-16,2025-06-17,2025-06-22,LONG,0.003459,144.696000,142.699606,149.686985,146.637000,Time Exit (5 days),1.379716,3.449290,1.341433,1.301433,WIN,2025
USDJPY,2025-06-15,2025-06-16,2025-06-20,LONG,0.003459,143.958000,142.008428,148.831931,146.061000,Time Exit (5 days),1.354265,3.385662,1.460843,1.420843,WIN,2025
USDJPY,2025-06-13,2025-06-15,2025-06-19,LONG,0.003459,144.091000,142.131142,148.990646,145.447000,Time Exit (5 days),1.360153,3.400383,0.941072,0.901072,WIN,2025
USDJPY,2025-06-12,2025-06-13,2025-06-18,LONG,0.003459,143.479000,141.450785,148.549538,145.104000,Time Exit (5 days),1.413597,3.533993,1.132570,1.092570,WIN,2025
USDJPY,2025-06-10,2025-06-11,2025-06-16,LONG,0.003459,144.872000,142.728285,150.231288,144.696000,Time Exit (5 days),1.479731,3.699327,-0.121487,-0.161487,LOSS,2025
USDJPY,2025-06-05,2025-06-06,2025-06-10,LONG,0.003459,143.499000,141.310177,148.971056,144.872000,Time Exit (5 days),1.525322,3.813306,0.956801,0.916801,WIN,2025
USDJPY,2025-06-04,2025-06-05,2025-06-09,LONG,0.003459,142.763000,140.577070,148.227824,144.595000,Time Exit (5 days),1.531160,3.827899,1.283246,1.243246,WIN,2025
USDJPY,2025-06-03,2025-06-04,2025-06-08,LONG,0.003459,143.966000,141.886999,149.163503,144.444000,Time Exit (5 days),1.444092,3.610229,0.332023,0.292023,WIN,2025
USDJPY,2025-06-02,2025-06-03,2025-06-07,LONG,0.003459,142.654000,140.658356,147.643110,144.787990,Time Exit (5 days),1.398940,3.497350,1.495920,1.455920,WIN,2025
USDJPY,2025-06-01,2025-06-02,2025-06-06,LONG,0.003459,144.097000,142.142178,148.984056,144.813000,Time Exit (5 days),1.356602,3.391505,0.496888,0.456888,WIN,2025
USDJPY,2025-05-29,2025-05-30,2025-06-04,LONG,0.003459,144.164000,142.036570,149.482574,142.763000,Time Exit (5 days),1.475701,3.689253,-0.971810,-1.011810,LOSS,2025
USDJPY,2025-05-27,2025-05-28,2025-06-02,LONG,0.003459,144.321000,142.142785,149.766538,142.654000,Time Exit (5 days),1.509285,3.773213,-1.155064,-1.195064,LOSS,2025
USDJPY,2025-05-26,2025-05-27,2025-06-01,LONG,0.003459,142.835000,140.805499,147.908753,143.592000,Time Exit (5 days),1.420871,3.552177,0.529982,0.489982,WIN,2025
